UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
1955499C59,Muhamad Hadi Suhaimi,18 -24,Male,Yes,Family Member,No,Postgraduate Degree,C2C Social Media Invasion,8,5,4,4,3,2,2,2,3,2,2,2,2,2,3,1,3,1,3,2,2,1,2,2,2,2,2,2,4,2,3,2,3,2,3,2,2.63,1.81,-0.81,N,3,4,3,2,4,4,2,2,4,4,3.2,3.2,0,N,4,4,4,4,3,4,2,1,3,5,3,5,3,5,2,5,3,5,3,4,3,4.1,1.1,Y,3,3,3,4,3,2,3,4,3,3.25,0.25,Y,2,1,3,1,3,2,3,2,2.75,1.25,-1.5,N,136,25-07-21 13:07
2948352R87,Muhamad Hadi Suhaimi,18 -24,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,8,4,5,4,3,4,3,4,4,5,3,4,4,2,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,3,4,4,4,3,4,3.44,3.88,0.44,Y,5,4,4,4,2,4,4,2,4,4,3.8,3.6,-0.2,N,4,5,4,4,5,5,5,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4.2,0.2,Y,3,4,4,4,4,5,4,5,3.75,4.5,0.75,Y,3,2,4,4,5,4,3,3,3.75,3,-0.75,N,138,25-07-21 13:13
6139374A96,Muhamad Hadi Suhaimi,18 -24,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,3,5,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,5,5,4,4,4,4,5,4,3,4,4.44,4.44,0,N,4,3,3,2,3,4,3,2,4,3,3.4,2.8,-0.6,N,5,5,4,4,4,4,3,5,3,2,5,5,4,5,5,5,5,5,4,4,4.2,4.4,0.2,Y,3,4,4,5,4,4,4,4,3.75,4.25,0.5,Y,3,4,3,3,3,2,2,2,2.75,3,0.25,Y,142,25-07-21 13:26
3599269G32,Muhamad Hadi Suhaimi,25 - 34,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,2,4,5,4,2,4,5,5,1,5,1,3,5,5,1,3,1,5,3,4,5,3,4,4,3,5,4,5,2,4,2,4,2.88,4.19,1.31,Y,4,5,3,4,2,4,3,2,2,4,2.8,3.8,1,Y,4,5,1,4,1,5,5,4,2,4,4,4,2,4,1,4,4,4,5,4,2.9,4.3,1.4,Y,3,4,2,3,2,4,5,5,3,4,1,Y,4,5,4,4,5,3,4,2,4.25,3.5,-0.75,N,210,08-08-21 18:39
4503378F25,Muhamad Hadi Suhaimi,25 - 34,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,3,2,3,3,4,5,4,2,4,5,5,5,4,5,3,4,2,2,3.94,4.25,0.31,Y,3,3,4,3,3,3,3,2,4,4,3.4,3,-0.4,N,3,4,5,5,5,5,5,5,4,5,4,4,5,5,4,4,4,4,3,3,4.2,4.4,0.2,Y,1,4,5,4,3,4,1,5,2.5,4.25,1.75,Y,5,5,5,5,2,3,3,3,3.75,3.75,0,N,968,03-09-21 8:24
39527103H49,Muhamad Hadi Suhaimi,25 - 34,Male,Yes,"Family Member
Friend
Colleague
Classmate
Partner (BF/GF)",Yes,Polytechnic,C2C Social Media Invasion,8,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,4.5,4.25,-0.25,N,1,5,5,5,5,5,1,1,5,5,3.4,4.2,0.8,Y,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,N,5,5,5,5,5,5,5,5,5,5,0,N,1,1,1,1,5,5,1,1,2,2.5,0.5,Y,981,03-09-21 11:56
2387715B35,Muhamad Hadi Suhaimi,25 - 34,Male,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,7,5,5,5,2,4,2,4,2,4,2,3,2,2,2,3,2,4,2,1,2,4,2,4,2,4,2,5,2,5,2,5,2,5,2,5,2,3.88,1.88,Y,2,1,2,3,4,3,2,2,4,4,2.8,2.6,-0.2,N,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3.8,4,0.2,Y,4,5,2,1,4,5,4,5,3.5,4,0.5,Y,2,4,2,2,2,2,2,2,2,2.25,0.25,Y,980,03-09-21 11:40
2.26E+52,Muhamad Hadi Suhaimi,25 - 34,Male,Yes,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,5,5,5,5,2,5,2,5,2,5,3,5,3,5,3,5,3,2,3,1,3,1,3,5,3,1,3,5,3,5,3,5,3,5,3,4.06,2.81,-1.25,N,2,2,1,2,5,3,1,3,5,3,2.8,2.6,-0.2,N,5,4,5,3,5,3,1,3,5,3,5,3,5,3,5,3,5,3,5,3,4.6,3.3,-1.3,N,4,4,2,2,4,4,4,4,3.5,3.5,0,N,1,3,1,3,1,3,1,3,1,2.75,1.75,Y,983,03-09-21 13:36
4.28E+61,Muhamad Hadi Suhaimi,25 - 34,Male,Yes,Not Applicable,No,Polytechnic,C2C Social Media Invasion,7,5,5,5,5,3,5,3,5,3,5,3,5,3,5,3,5,3,2,3,1,3,1,3,5,3,1,3,5,3,5,3,5,3,5,3,4.06,3,-1.06,N,2,3,1,3,5,3,1,3,5,3,2.8,3,0.2,Y,5,3,5,3,5,3,1,3,5,3,5,3,5,3,5,3,5,3,5,3,4.6,3.2,-1.4,N,4,3,2,3,4,3,4,3,3.5,3,-0.5,N,1,3,1,3,1,3,1,3,1,3,2,Y,984,03-09-21 13:37
2.41E+34,Muhamad Hadi Suhaimi,25 - 34,Male,Yes,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,5,3,5,3,5,3,5,3,5,3,5,3,5,3,2,3,1,3,1,3,5,3,1,3,5,3,5,3,5,3,5,3,4.06,3,-1.06,N,2,3,1,3,5,3,1,3,5,3,2.8,3,0.2,Y,5,3,5,3,5,3,1,3,5,3,5,3,5,3,5,3,5,3,5,3,4.6,3.2,-1.4,N,4,3,2,3,4,3,4,3,3.5,3,-0.5,N,1,3,1,3,1,3,1,3,1,3,2,Y,985,03-09-21 13:38
